
# 
# Amundsen Sea Low (ASL) Index version 3
#   (derived from monthly ERA5 Reanalysis data)
# 
# Dr J. Scott Hosking
#   British Antarctic Survey
#   Twitter: @scotthosking
# 
# For more information see:
#   Website: https://scotthosking.com/asl_index
#   GitHub:  https://github.com/scotthosking/amundsen_sea_low_index
# 
# Column Labels:
#   time       = YYYY-MM-01 (monthly data)
#   SectorPres = Area-average sea level pressure over sector (170-298 E : 60-80 S)
#   ActCenPres = Actual central pressure of ASL
#   lon        = Longitudinal location of ASL (degrees East)
#   lat        = Latitudinal location of ASL
#   RelCenPres = Relative central pressure (ActCenPres 'minus' SectorPres)
#   DataSource = ERA5 (final data) or ERA5T (initial release data) from ECMWF
# 
# The ASL (low pressure system) detection algorithm may be improved over time. Therefore 
# it is recommended that the version number below is noted when using these data.
#   ASLi_version_id = 3.20240813
#   ASLi_software_version = 0.0.1
#   data_version = 20240813
# 
# 
time,lon,lat,ActCenPres,SectorPres,RelCenPres,DataSource
1979-03-01,223.5,-69.75,972.3631,980.22394,-7.86084,ERA5
1979-04-01,270.0,-67.5,967.8681,978.9396,-11.071472,ERA5
1979-05-01,190.25,-70.5,977.97815,987.48425,-9.5061035,ERA5
1979-06-01,213.5,-70.5,968.6138,978.73083,-10.117065,ERA5
1979-07-01,214.0,-75.0,973.72125,980.61945,-6.8981934,ERA5
1979-08-01,256.75,-72.0,972.2494,986.9961,-14.746704,ERA5
1979-09-01,207.0,-74.75,973.64185,982.1447,-8.502869,ERA5
1979-10-01,251.25,-72.0,972.79565,982.4196,-9.623962,ERA5
1979-11-01,200.5,-74.75,979.3056,986.5419,-7.236267,ERA5
1979-12-01,269.25,-66.25,986.6725,993.3026,-6.630127,ERA5
1980-01-01,283.75,-65.0,987.9075,991.851,-3.9435425,ERA5
1980-02-01,281.25,-63.75,986.8756,992.5214,-5.645813,ERA5
1980-03-01,216.5,-75.0,985.7344,991.58203,-5.8476562,ERA5
1980-04-01,208.25,-67.25,984.5725,992.9961,-8.423584,ERA5
1980-05-01,212.0,-66.25,979.765,987.6829,-7.9179077,ERA5
1980-06-01,211.0,-75.5,978.10565,987.8172,-9.711548,ERA5
1980-07-01,207.75,-64.0,982.675,994.56805,-11.893066,ERA5
1980-08-01,202.5,-70.75,976.6769,983.2541,-6.5772095,ERA5
1980-09-01,256.5,-69.5,980.35065,988.887,-8.536377,ERA5
1980-10-01,220.0,-70.75,964.0081,973.81726,-9.809143,ERA5
1980-11-01,294.25,-62.5,982.2675,991.8786,-9.611084,ERA5
1980-12-01,272.25,-69.75,985.0581,989.6388,-4.5806885,ERA5
1981-01-01,210.0,-69.25,980.8794,987.2792,-6.3997803,ERA5
1981-02-01,282.0,-67.0,976.4356,984.3039,-7.868286,ERA5
1981-03-01,220.25,-68.0,973.2369,985.7781,-12.541199,ERA5
1981-04-01,231.0,-60.25,987.1394,992.3512,-5.211792,ERA5
1981-05-01,194.0,-74.5,979.77686,988.5714,-8.794556,ERA5
1981-06-01,219.5,-73.0,972.4494,983.9565,-11.50708,ERA5
1981-07-01,228.5,-71.75,978.28625,987.528,-9.24176,ERA5
1981-08-01,273.25,-68.75,977.22565,989.97974,-12.754089,ERA5
1981-09-01,206.0,-75.75,983.97626,992.0539,-8.077637,ERA5
1981-10-01,210.75,-71.5,975.66815,979.94934,-4.281189,ERA5
1981-11-01,254.0,-67.5,968.7706,975.96124,-7.190613,ERA5
1981-12-01,229.25,-71.5,975.5037,983.2579,-7.7541504,ERA5
1982-01-01,266.25,-65.0,983.4269,988.73376,-5.306885,ERA5
1982-02-01,243.25,-66.75,978.96063,984.0719,-5.111267,ERA5
1982-03-01,276.5,-67.75,973.8175,980.657,-6.8394775,ERA5
1982-04-01,271.0,-70.75,967.3625,979.3918,-12.029297,ERA5
1982-05-01,264.0,-67.75,976.7025,985.30316,-8.600647,ERA5
1982-06-01,203.5,-73.5,975.5781,984.737,-9.1588745,ERA5
1982-07-01,208.5,-69.25,981.1213,989.42474,-8.303467,ERA5
1982-08-01,198.0,-72.75,966.52,983.50574,-16.985718,ERA5
1982-09-01,210.0,-73.75,968.1825,979.9632,-11.780701,ERA5
1982-10-01,250.25,-72.75,976.0687,984.39026,-8.321533,ERA5
1982-11-01,175.0,-64.75,974.4075,984.9173,-10.509827,ERA5
1982-12-01,276.75,-61.75,982.7488,993.906,-11.157227,ERA5
1983-01-01,277.25,-63.25,986.2419,995.8268,-9.5849,ERA5
1983-02-01,258.5,-71.75,985.2319,992.9853,-7.753418,ERA5
1983-03-01,207.0,-69.0,975.3088,983.0855,-7.7767334,ERA5
1983-04-01,220.5,-69.75,966.2369,980.20764,-13.970764,ERA5
1983-05-01,209.5,-67.5,971.5375,980.24426,-8.706787,ERA5
1983-06-01,204.5,-71.0,981.02,989.3253,-8.305298,ERA5
1983-07-01,237.5,-70.5,971.9281,980.7282,-8.80011,ERA5
1983-08-01,232.5,-73.5,968.8725,978.5308,-9.658325,ERA5
1983-09-01,243.25,-71.25,977.365,985.6674,-8.302429,ERA5
1983-10-01,203.5,-73.75,961.2369,973.70044,-12.463562,ERA5
1983-11-01,264.75,-69.5,970.1906,978.4622,-8.271606,ERA5
1983-12-01,247.5,-69.25,978.2775,984.94073,-6.663208,ERA5
1984-01-01,256.25,-64.75,981.52374,992.3131,-10.789368,ERA5
1984-02-01,285.0,-63.5,983.33936,989.49084,-6.1514893,ERA5
1984-03-01,251.25,-68.25,974.64935,982.4794,-7.830017,ERA5
1984-04-01,199.25,-71.0,976.22186,981.4973,-5.2754517,ERA5
1984-05-01,209.5,-68.5,980.48627,989.4299,-8.9436035,ERA5
1984-06-01,195.75,-73.75,976.34064,986.3859,-10.045288,ERA5
1984-07-01,210.0,-74.75,971.505,984.28,-12.775024,ERA5
1984-08-01,254.75,-72.5,974.0506,985.65356,-11.602966,ERA5
1984-09-01,254.25,-71.75,971.6431,983.4064,-11.763245,ERA5
1984-10-01,191.0,-75.75,972.6431,984.406,-11.762878,ERA5
